class	prop	rdf	-*- tab-width: 32 -*-
RelationType	prefLabel	skos:prefLabel
RelationType	source	dct:source
SourceDataset	byteSize	dcat:byteSize
SourceDataset	classes	void:classes
SourceDataset	date	dct:date
SourceDataset	downloadURL	dcat:downloadURL
SourceDataset	entities	void:entities
SourceDataset	fileName	cg:fileName
SourceDataset	ident	skos:notation
SourceDataset	mediaType	dcat:mediaType
SourceDataset	predicates	void:predicates
SourceDataset	properties	void:properties
SourceDataset	task	cg:task
SourceDataset	title	dct:title
SourceDataset	triples	void:triples
SourceLinkset	byteSize	dcat:byteSize
SourceLinkset	date	dct:date
SourceLinkset	downloadURL	dcat:downloadURL
SourceLinkset	entities	void:entities
SourceLinkset	fileName	cg:fileName
SourceLinkset	ident	skos:notation
SourceLinkset	identifierSystem	cg:identifierSystem
SourceLinkset	linkPredicate	void:linkPredicate
SourceLinkset	mediaType	dcat:mediaType
SourceLinkset	properties	void:properties
SourceLinkset	target	void:target
SourceLinkset	task	cg:task
SourceLinkset	title	dct:title
SourceLinkset	triples	void:triples
SourceMatch	confidence	cg:confidence
SourceMatch	description	dct:description
SourceMatch	match	cg:match
StockExchange	address	org:hasRegisteredSite
StockExchange	addressOther	org:hasSite
StockExchange	altLabel	skos:altLabel
StockExchange	country	cg:country
StockExchange	created	dct:created
StockExchange	dateDissolved	schema:dissolutionDate
StockExchange	dateFounded	schema:foundingDate
StockExchange	description	dct:description
StockExchange	descriptionLong	cg:descriptionLong
StockExchange	ident	skos:notation
StockExchange	identifier	adms:identifier
StockExchange	industry	cg:industry
StockExchange	industryAll	rov:orgActivity
StockExchange	industryText	ebg:orgActivityText
StockExchange	investorType	cg:investorType
StockExchange	isCluster	cg:isCluster
StockExchange	isPubliclyTraded	ebg:isPubliclyTraded
StockExchange	isStateOwned	ebg:isStateOwned
StockExchange	language	schema:availableLanguage
StockExchange	legalForm	rov:orgType
StockExchange	legalFormText	ebg:orgTypeText
StockExchange	legalName	rov:legalName
StockExchange	modified	dct:modified
StockExchange	orgType	cg:orgType
StockExchange	orgTypeOther	cg:orgTypeOther
StockExchange	prefLabel	skos:prefLabel
StockExchange	source	dct:source
StockExchange	status	rov:orgStatus
StockExchange	statusText	ebg:orgStatusText
Transaction	address	cg:address
Transaction	agent	cg:agent
Transaction	amount	cg:amount
Transaction	country	cg:country
Transaction	created	dct:created
Transaction	date	cg:date
Transaction	description	dct:description
Transaction	descriptionLong	cg:descriptionLong
Transaction	ident	skos:notation
Transaction	identifier	adms:identifier
Transaction	isCluster	cg:isCluster
Transaction	language	schema:availableLanguage
Transaction	modified	dct:modified
Transaction	source	dct:source
Transaction	transactionType	cg:transactionType
Transaction	typeText	cg:typeText
TransactionType	address	cg:address
TransactionType	altLabel	skos:altLabel
TransactionType	broader	skos:broader
TransactionType	country	cg:country
TransactionType	created	dct:created
TransactionType	description	skos:description
TransactionType	descriptionLong	cg:descriptionLong
TransactionType	ident	skos:notation
TransactionType	identifier	adms:identifier
TransactionType	inScheme	skos:inScheme
TransactionType	isCluster	cg:isCluster
TransactionType	language	schema:availableLanguage
TransactionType	modified	dct:modified
TransactionType	order	cg:order
TransactionType	prefLabel	skos:prefLabel
TransactionType	source	dct:source
